michi,kichi,fre
11,1,1
7,5,4
8,4,7
10,2,11
9,3,14
12,0,17
12,0,21
10,2,24
0,12,27
12,0,31
11,1,34
0,12,37
3,9,41
12,0,44
1,11,47
8,4,51
2,10,54
1,11,57
11,1,61
12,0,64
10,2,67
0,12,71
4,8,74
1,11,77
2,10,81
8,4,84
12,0,87
12,0,91
6,6,94
5,7,97
0,12,101
4,8,104
1,11,107
1,11,111
8,4,114
7,5,117
0,12,121
0,12,124
4,8,127
6,6,131
4,8,134
0,12,137
0,12,141
1,11,144
0,12,147
9,3,151
11,1,154
11,1,157
0,12,161
1,11,164
5,7,167
0,12,171
7,5,174
3,9,177
0,12,181
1,11,184
0,12,187
4,8,191
1,11,194
0,12,197
5,7,201
0,12,204
7,5,207
0,12,211
9,3,214
0,12,217
0,12,221
0,12,224
5,7,227
4,8,231
0,12,234
0,12,237
0,12,241
3,9,244
10,2,247
2,10,251
0,12,254
0,12,257
0,12,261
1,11,264
0,12,267
0,12,271
0,12,274
6,6,277
0,12,281
2,10,284
4,8,287
0,12,291
3,9,294
0,12,297
