moji,x,y,true_label
新,263,165,0
規,290,165,0
デ,317,165,0
ベ,344,165,0
ロ,371,165,0
ッ,398,165,0
パ,425,165,0
ー,452,165,0
に,479,165,0
よ,506,165,0
る,533,165,0
都,560,165,0
市,587,165,0
開,614,165,0
発,641,165,0
が,668,165,0
進,695,165,0
む,722,165,0
中,749,165,0
、,776,165,0
架,803,165,0
設,830,165,0
さ,857,165,0
れ,884,165,0
た,911,165,0
ば,938,165,0
か,965,165,0
り,992,165,0
の,1019,165,0
橋,263,205,0
の,290,205,0
開,317,205,0
通,344,205,0
式,371,205,0
に,398,205,0
招,425,205,0
か,452,205,0
れ,479,205,0
、,506,205,0
祝,533,205,0
辞,560,205,0
を,587,205,0
述,614,205,0
べ,641,205,0
る,668,205,0
こ,695,205,0
と,722,205,0
に,749,205,0
な,776,205,0
っ,803,205,0
た,830,205,0
。,857,205,0
式,884,205,0
典,911,205,0
は,938,205,0
虚,965,205,1
礼,992,205,1
に,1019,205,0
終,263,245,0
始,290,245,0
せ,317,245,0
ず,344,245,0
、,371,245,0
地,398,245,0
域,425,245,0
の,452,245,0
未,479,245,0
来,506,245,0
を,533,245,0
見,560,245,0
据,587,245,0
え,614,245,0
た,641,245,0
具,668,245,0
体,695,245,0
的,722,245,0
な,749,245,0
構,776,245,0
想,803,245,0
や,830,245,0
計,857,245,0
画,884,245,0
が,911,245,0
共,938,245,0
有,965,245,0
さ,992,245,0
れ,1019,245,0
た,263,285,0
。,290,285,0
現,317,285,0
地,344,285,0
に,371,285,0
は,398,285,0
花,425,285,0
々,452,285,0
が,479,285,0
咲,506,285,0
き,533,285,0
、,560,285,0
ふ,587,285,0
と,614,285,0
足,641,285,0
元,668,285,0
に,695,285,0
珍,722,285,0
し,749,285,0
い,776,285,0
雄,803,285,0
花,830,285,0
が,857,285,0
咲,884,285,0
い,911,285,0
て,938,285,0
い,965,285,0
る,992,285,0
の,1019,285,0
を,263,325,0
見,290,325,0
つ,317,325,0
け,344,325,0
、,371,325,0
思,398,325,0
わ,425,325,0
ず,452,325,0
心,479,325,0
が,506,325,0
和,533,325,0
ん,560,325,0
だ,587,325,0
。,614,325,0
近,641,325,0
く,668,325,0
に,695,325,0
は,722,325,0
小,749,325,0
さ,776,325,0
な,803,325,0
廟,830,325,1
所,857,325,1
も,884,325,0
あ,911,325,0
り,938,325,0
、,965,325,0
土,992,325,0
地,1019,325,0
の,263,365,0
歴,290,365,0
史,317,365,0
を,344,365,0
感,371,365,0
じ,398,365,0
た,425,365,0
。,452,365,0
し,479,365,0
か,506,365,0
し,533,365,0
突,560,365,0
然,587,365,0
、,614,365,0
来,641,365,0
賓,668,365,0
の,695,365,0
一,722,365,0
人,749,365,0
が,776,365,0
昏,803,365,0
倒,830,365,0
し,857,365,0
、,884,365,0
会,911,365,0
場,938,365,0
は,965,365,0
一,992,365,0
時,1019,365,0
騒,263,405,0
然,290,405,0
と,317,405,0
な,344,405,0
っ,371,405,0
た,398,405,0
。,425,405,0
そ,452,405,0
の,479,405,0
対,506,405,0
応,533,405,0
に,560,405,0
追,587,405,0
わ,614,405,0
れ,641,405,0
る,668,405,0
中,695,405,0
、,722,405,0
古,749,405,0
代,776,405,0
の,803,405,0
陶,830,405,0
棺,857,405,0
が,884,405,0
発,911,405,0
掘,938,405,0
さ,965,405,0
れ,992,405,0
た,1019,405,0
話,263,445,0
題,290,445,0
が,317,445,0
広,344,445,0
が,371,445,0
り,398,445,0
、,425,445,0
会,452,445,0
場,479,445,0
に,506,445,0
新,533,445,0
た,560,445,0
な,587,445,0
ざ,614,445,0
わ,641,445,0
め,668,445,0
き,695,445,0
が,722,445,0
生,749,445,0
ま,776,445,0
れ,803,445,0
た,830,445,0
。,857,445,0
此,884,445,0
処,911,445,0
彼,938,445,0
処,965,445,0
で,992,445,0
生,1019,445,0
ま,263,485,0
れ,290,485,0
る,317,485,0
新,344,485,0
し,371,485,0
い,398,485,0
出,425,485,0
会,452,485,0
い,479,485,0
と,506,485,0
歴,533,485,0
史,560,485,0
の,587,485,0
継,614,485,0
承,641,485,0
を,668,485,0
感,695,485,0
じ,722,485,0
な,749,485,0
が,776,485,0
ら,803,485,0
、,830,485,0
横,857,485,0
着,884,485,0
な,911,485,0
考,938,485,0
え,965,485,0
を,992,485,0
捨,1019,485,0
て,263,525,0
て,290,525,0
誠,317,525,0
実,344,525,0
に,371,525,0
関,398,525,0
わ,425,525,0
る,452,525,0
大,479,525,0
切,506,525,0
さ,533,525,0
を,560,525,0
改,587,525,0
め,614,525,0
て,641,525,0
認,668,525,0
識,695,525,0
し,722,525,0
た,749,525,0
一,776,525,0
日,803,525,0
だ,830,525,0
っ,857,525,0
た,884,525,0
。,911,525,0
