moji,x,y,true_label,line,sflag
私,263,165,0,0,0
は,290,165,0,0,0
紺,317,165,1,0,0
屋,344,165,1,0,0
を,371,165,0,0,0
家,398,165,0,0,0
業,425,165,0,0,0
と,452,165,0,0,0
す,479,165,0,0,0
る,506,165,0,0,0
古,533,165,0,0,0
巣,560,165,0,0,0
を,587,165,0,0,0
飛,614,165,0,0,0
び,641,165,0,0,0
出,668,165,0,0,0
し,695,165,0,0,0
、,722,165,0,0,0
伝,749,165,0,0,0
統,776,165,0,0,0
の,803,165,0,0,0
し,830,165,0,0,0
が,857,165,0,0,0
ら,884,165,0,0,0
み,911,165,0,0,0
を,938,165,0,0,0
振,965,165,0,0,0
り,992,165,0,0,0
払,1019,165,0,0,0
う,263,205,0,1,0
勢,290,205,0,1,0
い,317,205,0,1,0
で,344,205,0,1,0
就,371,205,0,1,0
活,398,205,0,1,1
に,425,205,0,1,0
挑,452,205,0,1,0
ん,479,205,0,1,1
だ,506,205,0,1,1
。,533,205,0,1,1
行,560,205,0,1,1
き,587,205,0,1,1
詰,614,205,0,1,1
ま,641,205,0,1,1
り,668,205,0,1,0
を,695,205,0,1,0
感,722,205,0,1,0
じ,749,205,0,1,0
て,776,205,0,1,0
い,803,205,0,1,0
た,830,205,0,1,0
あ,857,205,0,1,0
る,884,205,0,1,1
日,911,205,0,1,1
、,938,205,0,1,1
気,965,205,0,1,1
晴,992,205,0,1,1
ら,1019,205,0,1,0
し,263,245,0,2,0
に,290,245,0,2,0
放,317,245,1,2,1
鷹,344,245,1,2,1
を,371,245,0,2,1
見,398,245,0,2,0
に,425,245,0,2,1
林,452,245,1,2,1
床,479,245,1,2,1
を,506,245,0,2,1
歩,533,245,0,2,0
い,560,245,0,2,0
て,587,245,0,2,0
い,614,245,0,2,0
る,641,245,0,2,0
と,668,245,0,2,0
、,695,245,0,2,0
黄,722,245,1,2,0
埴,749,245,1,2,0
を,776,245,0,2,0
練,803,245,0,2,0
っ,830,245,0,2,0
て,857,245,0,2,0
い,884,245,0,2,0
る,911,245,0,2,0
術,938,245,0,2,0
者,965,245,0,2,0
の,992,245,0,2,0
よ,1019,245,0,2,1
う,263,285,0,3,0
な,290,285,0,3,0
老,317,285,1,3,1
女,344,285,1,3,1
に,371,285,0,3,1
出,398,285,0,3,1
会,425,285,0,3,1
っ,452,285,0,3,1
た,479,285,0,3,1
。,506,285,0,3,1
や,533,285,0,3,1
が,560,285,0,3,0
て,587,285,0,3,0
大,614,285,1,3,0
棗,641,285,1,3,0
が,668,285,0,3,0
添,695,285,0,3,0
え,722,285,0,3,0
ら,749,285,0,3,1
れ,776,285,0,3,1
、,803,285,0,3,1
静,830,285,0,3,0
か,857,285,0,3,0
に,884,285,0,3,0
儀,911,285,0,3,0
式,938,285,0,3,0
の,965,285,0,3,1
よ,992,285,0,3,1
う,1019,285,0,3,1
な,263,325,0,4,0
所,290,325,0,4,0
作,317,325,0,4,0
が,344,325,0,4,1
始,371,325,0,4,1
ま,398,325,0,4,1
り,425,325,0,4,0
、,452,325,0,4,0
手,479,325,0,4,0
元,506,325,0,4,0
か,533,325,0,4,0
ら,560,325,0,4,0
は,587,325,0,4,0
微,614,325,0,4,1
か,641,325,0,4,1
な,668,325,0,4,1
輻,695,325,1,4,1
射,722,325,1,4,1
が,749,325,0,4,0
立,776,325,0,4,0
ち,803,325,0,4,0
上,830,325,0,4,0
っ,857,325,0,4,0
た,884,325,0,4,0
。,911,325,0,4,1
足,938,325,0,4,1
を,965,325,0,4,1
止,992,325,0,4,1
め,1019,325,0,4,1
て,263,365,0,5,0
驚,290,365,0,5,0
く,317,365,0,5,0
私,344,365,0,5,0
に,371,365,0,5,0
、,398,365,0,5,0
老,425,365,1,5,0
女,452,365,1,5,0
は,479,365,0,5,0
全,506,365,0,5,1
て,533,365,0,5,1
を,560,365,0,5,1
知,587,365,0,5,1
っ,614,365,0,5,1
て,641,365,0,5,1
い,668,365,0,5,1
る,695,365,0,5,1
か,722,365,0,5,1
の,749,365,0,5,0
よ,776,365,0,5,0
う,803,365,0,5,0
な,830,365,0,5,0
口,857,365,0,5,0
調,884,365,0,5,0
で,911,365,0,5,1
穏,938,365,0,5,1
や,965,365,0,5,1
か,992,365,0,5,1
に,1019,365,0,5,0
語,263,405,0,6,0
り,290,405,0,6,0
か,317,405,0,6,0
け,344,405,0,6,0
た,371,405,0,6,0
。,398,405,0,6,0
「,425,405,0,6,0
誰,452,405,0,6,0
